[engine] Using C++ engine
=== Candidate 4 v5: AlphaZero with Curriculum ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 300 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps
Training: 500 iters, 100 train steps/iter
Curriculum: random → greedy → minimax → self_play, promote at 75%

Resumed from checkpoint at iteration 20
  total_games=321, best_wins=0, phase=random
Iter  89 [  random] | Games:  1428 | R/B/D: 2/2/12 CM:4(25%)x3 | Len: 176 | PL: 2.3533 | VL: 0.0056 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 2s | Elapsed: 11229s
Iter  90 [  random] | Games:  1444 | R/B/D: 0/3/13 CM:3(19%)x3 | Len: 192 | PL: 2.3628 | VL: 0.0076 | Buf:  20000 | SP: 126s (7.6g/m) | Train: 2s | Elapsed: 11357s
  >> Eval vs random (10g): 0W / 3L / 7D  (Score: 35%)
Iter  91 [  random] | Games:  1460 | R/B/D: 3/2/11 CM:5(31%)x2 | Len: 174 | PL: 2.3707 | VL: 0.0079 | Buf:  20000 | SP: 133s (7.2g/m) | Train: 1s | Elapsed: 11853s
Iter  92 [  random] | Games:  1477 | R/B/D: 3/2/12 CM:5(29%)x2 | Len: 179 | PL: 2.3708 | VL: 0.0070 | Buf:  20000 | SP: 130s (7.9g/m) | Train: 2s | Elapsed: 11984s
Iter  93 [  random] | Games:  1493 | R/B/D: 1/0/15 CM:1(6%)x3 | Len: 199 | PL: 2.3675 | VL: 0.0069 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 2s | Elapsed: 12114s
Iter  94 [  random] | Games:  1509 | R/B/D: 0/2/14 CM:2(12%)x3 | Len: 197 | PL: 2.3674 | VL: 0.0057 | Buf:  20000 | SP: 134s (7.2g/m) | Train: 2s | Elapsed: 12250s
Iter  95 [  random] | Games:  1525 | R/B/D: 2/0/14 CM:2(12%)x3 | Len: 197 | PL: 2.3803 | VL: 0.0079 | Buf:  20000 | SP: 131s (7.3g/m) | Train: 2s | Elapsed: 12383s
Iter  96 [  random] | Games:  1541 | R/B/D: 1/3/12 CM:4(25%)x3 | Len: 181 | PL: 2.3811 | VL: 0.0070 | Buf:  20000 | SP: 133s (7.2g/m) | Train: 2s | Elapsed: 12518s
Iter  97 [  random] | Games:  1557 | R/B/D: 3/0/13 CM:3(19%)x3 | Len: 187 | PL: 2.3742 | VL: 0.0074 | Buf:  20000 | SP: 127s (7.6g/m) | Train: 2s | Elapsed: 12646s
Iter  98 [  random] | Games:  1573 | R/B/D: 1/2/13 CM:3(19%)x3 | Len: 188 | PL: 2.3788 | VL: 0.0057 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 2s | Elapsed: 12775s
Iter  99 [  random] | Games:  1589 | R/B/D: 1/1/14 CM:2(12%)x3 | Len: 193 | PL: 2.3643 | VL: 0.0062 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 2s | Elapsed: 12907s
Iter 100 [  random] | Games:  1605 | R/B/D: 3/0/13 CM:3(19%)x3 | Len: 185 | PL: 2.3577 | VL: 0.0072 | Buf:  20000 | SP: 131s (7.3g/m) | Train: 2s | Elapsed: 13039s
  >> Eval vs random (10g): 0W / 0L / 10D  (Score: 50%)
Iter 101 [  random] | Games:  1621 | R/B/D: 1/1/14 CM:2(12%)x3 | Len: 191 | PL: 2.3384 | VL: 0.0055 | Buf:  20000 | SP: 132s (7.3g/m) | Train: 2s | Elapsed: 13637s
Iter 102 [  random] | Games:  1637 | R/B/D: 1/0/15 CM:1(6%)x3 | Len: 200 | PL: 2.3407 | VL: 0.0062 | Buf:  20000 | SP: 133s (7.2g/m) | Train: 2s | Elapsed: 13771s
Iter 103 [  random] | Games:  1653 | R/B/D: 1/2/13 CM:3(19%)x3 | Len: 189 | PL: 2.3431 | VL: 0.0059 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 2s | Elapsed: 13901s
Iter 104 [  random] | Games:  1669 | R/B/D: 2/0/14 CM:2(12%)x3 | Len: 188 | PL: 2.3352 | VL: 0.0060 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 2s | Elapsed: 14032s
Iter 105 [  random] | Games:  1685 | R/B/D: 0/1/15 CM:1(6%)x3 | Len: 193 | PL: 2.3393 | VL: 0.0050 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 1s | Elapsed: 14162s
Iter 106 [  random] | Games:  1702 | R/B/D: 3/0/14 CM:3(18%)x4 | Len: 184 | PL: 2.3381 | VL: 0.0055 | Buf:  20000 | SP: 122s (8.3g/m) | Train: 2s | Elapsed: 14286s
Iter 107 [  random] | Games:  1718 | R/B/D: 1/1/14 CM:2(12%)x4 | Len: 196 | PL: 2.3302 | VL: 0.0090 | Buf:  20000 | SP: 124s (7.7g/m) | Train: 2s | Elapsed: 14412s
Iter 108 [  random] | Games:  1734 | R/B/D: 1/0/15 CM:1(6%)x4 | Len: 192 | PL: 2.3332 | VL: 0.0051 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 2s | Elapsed: 14543s
