[engine] Using C++ engine
=== Candidate 4: Mini AlphaZero (Single-Process Batched) ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 200 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps, 16 games/iter
Training: 300 iters, 100 train steps/iter

Skipping human buffer seeding (SKIP_PRETRAIN=1)
Iter  89 | Games:  1424 | R/B/D: 2/14/0 | Len: 200 | PL: 2.9002 | VL: 0.0092 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 13207s
Iter  90 | Games:  1440 | R/B/D: 3/12/1(D=1) | Len: 200 | PL: 2.8980 | VL: 0.0093 | Buf:  20000 | SP: 148s (6.5g/m) | Train: 1s | Elapsed: 13356s
Iter  91 | Games:  1456 | R/B/D: 2/12/2(D=2) | Len: 200 | PL: 2.9030 | VL: 0.0078 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 13502s
Iter  92 | Games:  1472 | R/B/D: 7/9/0 | Len: 200 | PL: 2.9105 | VL: 0.0128 | Buf:  20000 | SP: 152s (6.3g/m) | Train: 1s | Elapsed: 13655s
Iter  93 | Games:  1488 | R/B/D: 5/9/2(D=2) | Len: 200 | PL: 2.9064 | VL: 0.0128 | Buf:  20000 | SP: 147s (6.6g/m) | Train: 1s | Elapsed: 13803s
Iter  94 | Games:  1504 | R/B/D: 5/9/2(D=2) | Len: 200 | PL: 2.9144 | VL: 0.0121 | Buf:  20000 | SP: 148s (6.5g/m) | Train: 1s | Elapsed: 13953s
Iter  95 | Games:  1520 | R/B/D: 3/13/0 | Len: 200 | PL: 2.9056 | VL: 0.0087 | Buf:  20000 | SP: 147s (6.6g/m) | Train: 1s | Elapsed: 14100s
Iter  96 | Games:  1536 | R/B/D: 3/13/0 | Len: 200 | PL: 2.9185 | VL: 0.0093 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 14249s
Iter  97 | Games:  1552 | R/B/D: 6/10/0 | Len: 200 | PL: 2.9105 | VL: 0.0143 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 14397s
Iter  98 | Games:  1568 | R/B/D: 5/11/0 | Len: 200 | PL: 2.9120 | VL: 0.0116 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 14544s
Iter  99 | Games:  1584 | R/B/D: 3/12/1(D=1) | Len: 200 | PL: 2.9054 | VL: 0.0093 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 14689s
Iter 100 | Games:  1600 | R/B/D: 2/12/2(D=2) | Len: 200 | PL: 2.9015 | VL: 0.0100 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 14836s
  >> Eval vs Random (10g as Red): 4W / 6L / 0D  (Score: 40%)
Iter 101 | Games:  1616 | R/B/D: 3/13/0 | Len: 200 | PL: 2.9032 | VL: 0.0070 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 15085s
Iter 102 | Games:  1632 | R/B/D: 2/13/1(D=1) | Len: 200 | PL: 2.8960 | VL: 0.0073 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 15233s
Iter 103 | Games:  1648 | R/B/D: 4/12/0 | Len: 200 | PL: 2.8965 | VL: 0.0095 | Buf:  20000 | SP: 143s (6.7g/m) | Train: 1s | Elapsed: 15378s
Iter 104 | Games:  1664 | R/B/D: 5/11/0 | Len: 200 | PL: 2.9055 | VL: 0.0089 | Buf:  20000 | SP: 148s (6.5g/m) | Train: 1s | Elapsed: 15528s
Iter 105 | Games:  1680 | R/B/D: 6/9/1(D=1) | Len: 200 | PL: 2.9256 | VL: 0.0129 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 15674s
Iter 106 | Games:  1696 | R/B/D: 3/9/4(D=4) | Len: 200 | PL: 2.9264 | VL: 0.0106 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 15819s
Iter 107 | Games:  1712 | R/B/D: 2/14/0 | Len: 200 | PL: 2.9224 | VL: 0.0084 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 15966s
Iter 108 | Games:  1728 | R/B/D: 5/9/2(D=2) | Len: 200 | PL: 2.9379 | VL: 0.0122 | Buf:  20000 | SP: 148s (6.5g/m) | Train: 1s | Elapsed: 16116s
Iter 109 | Games:  1744 | R/B/D: 2/13/1(D=1) | Len: 200 | PL: 2.9289 | VL: 0.0096 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 16263s
Iter 110 | Games:  1760 | R/B/D: 4/12/0 | Len: 200 | PL: 2.9199 | VL: 0.0115 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 16409s
Iter 111 | Games:  1776 | R/B/D: 3/13/0 | Len: 200 | PL: 2.9040 | VL: 0.0084 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 16555s
Iter 112 | Games:  1792 | R/B/D: 7/8/1(D=1) | Len: 200 | PL: 2.9076 | VL: 0.0126 | Buf:  20000 | SP: 148s (6.5g/m) | Train: 1s | Elapsed: 16704s
Iter 113 | Games:  1808 | R/B/D: 2/13/1(D=1) | Len: 200 | PL: 2.9073 | VL: 0.0077 | Buf:  20000 | SP: 149s (6.4g/m) | Train: 1s | Elapsed: 16854s
Iter 114 | Games:  1824 | R/B/D: 5/10/1(D=1) | Len: 200 | PL: 2.9091 | VL: 0.0099 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 17001s
Iter 115 | Games:  1840 | R/B/D: 1/14/1(D=1) | Len: 200 | PL: 2.9033 | VL: 0.0070 | Buf:  20000 | SP: 148s (6.5g/m) | Train: 1s | Elapsed: 17150s
Iter 116 | Games:  1856 | R/B/D: 6/9/1(D=1) | Len: 200 | PL: 2.9000 | VL: 0.0128 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 17296s
Iter 117 | Games:  1872 | R/B/D: 4/12/0 | Len: 200 | PL: 2.8907 | VL: 0.0087 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 17441s
Iter 118 | Games:  1888 | R/B/D: 4/12/0 | Len: 200 | PL: 2.8795 | VL: 0.0079 | Buf:  20000 | SP: 149s (6.4g/m) | Train: 1s | Elapsed: 17591s
Iter 119 | Games:  1904 | R/B/D: 6/9/1(D=1) | Len: 200 | PL: 2.8770 | VL: 0.0137 | Buf:  20000 | SP: 153s (6.3g/m) | Train: 1s | Elapsed: 17746s
Iter 120 | Games:  1920 | R/B/D: 6/9/1(D=1) | Len: 200 | PL: 2.8820 | VL: 0.0119 | Buf:  20000 | SP: 152s (6.3g/m) | Train: 1s | Elapsed: 17899s
Iter 121 | Games:  1936 | R/B/D: 4/12/0 | Len: 200 | PL: 2.9053 | VL: 0.0101 | Buf:  20000 | SP: 151s (6.4g/m) | Train: 1s | Elapsed: 18051s
